Date;Open;High;Low;Close
11/08/2023 12:15;118445.64;118616.24;118445.64;118536.61
11/08/2023 12:00;118667.80;118828.18;118548.90;118548.90
11/08/2023 11:45;118757.20;118768.25;118593.20;118679.59
11/08/2023 11:30;118753.12;118887.15;118700.99;118735.25
11/08/2023 11:15;118775.03;119041.33;118641.61;118787.33
11/08/2023 11:00;118703.93;118998.09;118690.95;118775.84
11/08/2023 10:45;118805.70;118839.87;118557.44;118614.94
11/08/2023 10:30;118887.20;119053.92;118768.10;118820.57
11/08/2023 10:15;118572.16;119051.07;118572.16;118987.87
11/08/2023 10:00;118349.60;118541.01;118278.88;118541.01
10/08/2023 16:45;118243.18;118349.60;118226.75;118349.60
10/08/2023 16:30;118202.84;118297.07;118112.68;118239.80
10/08/2023 16:15;118621.96;118635.05;118222.64;118222.64
10/08/2023 16:00;118678.66;118678.66;118537.30;118611.11
10/08/2023 15:45;118610.91;118713.90;118610.91;118680.55
10/08/2023 15:30;118606.10;118642.91;118566.87;118617.73
10/08/2023 15:15;118658.83;118680.27;118598.82;118598.82
10/08/2023 15:00;118483.36;118721.30;118483.36;118666.09
10/08/2023 14:45;118570.57;118701.10;118468.33;118509.27
10/08/2023 14:30;118643.63;118643.63;118497.40;118560.79
10/08/2023 14:15;118759.67;118759.67;118623.06;118646.66
10/08/2023 14:00;118740.89;118774.10;118663.26;118756.63
10/08/2023 13:45;118808.88;118896.69;118715.97;118715.97
10/08/2023 13:30;118535.00;118872.99;118535.00;118803.71
10/08/2023 13:15;118838.88;118839.76;118504.27;118593.99
10/08/2023 13:00;118919.08;118919.08;118807.00;118853.91
10/08/2023 12:45;118834.68;118921.45;118630.94;118921.45
10/08/2023 12:30;118887.54;118911.19;118773.33;118818.33
10/08/2023 12:15;118857.92;118928.41;118771.93;118879.66
10/08/2023 12:00;118978.88;118978.88;118739.58;118828.44
10/08/2023 11:45;118933.94;118985.02;118744.01;118985.02
10/08/2023 11:30;119145.90;119179.01;118873.82;118914.48
10/08/2023 11:15;119157.56;119190.09;118954.81;119089.50
10/08/2023 11:00;119419.11;119438.15;119012.93;119144.46
10/08/2023 10:45;118915.29;119408.99;118915.29;119408.99
10/08/2023 10:30;118895.56;118984.65;118666.21;118926.93
10/08/2023 10:15;118905.25;119253.93;118872.17;118934.49
10/08/2023 10:00;118412.19;118913.31;118407.98;118913.31
09/08/2023 16:45;118307.24;118408.77;118202.92;118408.77
09/08/2023 16:30;118251.76;118327.76;118246.87;118310.17
09/08/2023 16:15;118172.33;118255.74;118137.85;118252.94
09/08/2023 16:00;118177.27;118249.76;118166.81;118166.81
09/08/2023 15:45;118234.79;118272.17;118171.44;118213.75
09/08/2023 15:30;118311.59;118355.92;118227.46;118246.40
09/08/2023 15:15;118250.37;118381.88;118247.15;118334.78
09/08/2023 15:00;118245.12;118325.68;118194.31;118232.80
09/08/2023 14:45;118248.22;118287.73;118180.50;118233.88
09/08/2023 14:30;118189.45;118330.56;118143.87;118262.23
09/08/2023 14:15;118262.64;118306.12;118228.36;118228.36
09/08/2023 14:00;118134.34;118260.31;118133.28;118251.93
09/08/2023 13:45;117961.58;118169.23;117933.94;118144.65
09/08/2023 13:30;118106.60;118154.23;117995.84;118003.83
09/08/2023 13:15;118123.82;118157.35;118016.18;118134.83
09/08/2023 13:00;118045.14;118248.63;118045.14;118118.03
09/08/2023 12:45;118063.60;118071.65;117924.72;118016.95
09/08/2023 12:30;117920.70;118168.69;117920.70;118084.62
09/08/2023 12:15;118019.24;118056.46;117901.04;117943.85
09/08/2023 12:00;118250.31;118363.63;118055.02;118062.82
09/08/2023 11:45;118592.48;118686.47;118226.75;118226.75
09/08/2023 11:30;118423.48;118643.52;118346.76;118633.31
09/08/2023 11:15;118735.69;118749.58;118254.04;118405.97
09/08/2023 11:00;118728.66;118768.47;118553.94;118641.80
09/08/2023 10:45;118645.01;118737.99;118325.16;118689.78
09/08/2023 10:30;118398.86;118543.39;118103.16;118526.75
09/08/2023 10:15;118777.69;118777.69;118343.16;118343.16
09/08/2023 10:00;119089.61;119089.61;118619.05;118723.65
08/08/2023 16:45;119122.22;119148.18;119030.07;119090.24
08/08/2023 16:30;119230.42;119230.42;118983.60;119100.94
08/08/2023 16:15;119199.43;119251.41;119160.41;119251.41
08/08/2023 16:00;119237.12;119282.57;119168.82;119200.54
08/08/2023 15:45;119172.47;119293.59;119172.47;119218.16
08/08/2023 15:30;119179.11;119221.18;119020.54;119186.78
08/08/2023 15:15;119249.15;119270.96;119152.85;119194.42
08/08/2023 15:00;119458.20;119458.20;119144.04;119242.29
08/08/2023 14:45;119379.23;119552.69;119308.13;119434.10
08/08/2023 14:30;119442.28;119530.03;119269.24;119394.81
08/08/2023 14:15;119279.06;119434.46;119203.89;119434.46
08/08/2023 14:00;119011.05;119280.11;118993.04;119280.11
08/08/2023 13:45;118973.45;119025.62;118902.48;118983.16
08/08/2023 13:30;119022.12;119107.92;118948.05;118958.53
08/08/2023 13:15;119098.99;119168.90;119017.31;119119.56
08/08/2023 13:00;119101.34;119169.78;118924.21;119097.16
08/08/2023 12:45;119056.02;119147.75;119040.33;119092.36
08/08/2023 12:30;118982.37;119143.13;118927.97;119037.94
08/08/2023 12:15;119040.15;119040.15;118872.40;118943.42
08/08/2023 12:00;118462.64;119019.39;118449.58;119019.39
08/08/2023 11:45;118803.88;118826.87;118447.26;118498.07
08/08/2023 11:30;118630.47;118774.57;118425.83;118774.57
08/08/2023 11:15;118226.29;118559.21;118060.11;118559.21
08/08/2023 11:00;118145.43;118378.07;118047.74;118245.40
08/08/2023 10:45;118089.77;118160.33;117757.47;118090.30
