Date;Open;High;Low;Close;Volume
2020-05-27 15:00:00;87110.60;87605.64;87094.80;87566.60;152070900
2020-05-27 14:00:00;86780.79;87206.60;86654.61;87129.16;122285300
2020-05-27 13:00:00;86698.44;86913.83;86698.44;86787.16;115473300
2020-05-27 12:00:00;86088.69;86681.47;86029.85;86681.47;139124900
2020-05-27 11:00:00;86408.88;86821.17;85915.08;86081.74;171231100
2020-05-27 10:00:00;85467.50;87039.02;85467.50;86320.77;201639300
2020-05-26 16:00:00;85943.84;86058.60;85395.71;85468.91;202838200
2020-05-26 15:00:00;85784.20;86063.80;85497.04;85869.62;121003800
2020-05-26 14:00:00;86001.10;86253.57;85838.94;85843.42;111714300
2020-05-26 13:00:00;85858.32;86047.44;85597.03;85998.54;110434800
2020-05-26 12:00:00;86833.04;86888.53;85754.72;85895.16;180310000
2020-05-26 11:00:00;86820.58;87085.13;86592.95;86850.78;193797600
2020-05-26 10:00:00;85667.50;87332.53;85667.04;86831.79;282985800
2020-05-25 16:00:00;85706.21;85875.60;85626.26;85663.48;164794100
2020-05-25 15:00:00;85330.41;85694.74;85280.15;85694.74;97273900
2020-05-25 14:00:00;85140.16;85523.23;85031.93;85325.63;106048900
2020-05-25 13:00:00;85396.71;85396.71;85111.58;85132.32;157612000
2020-05-25 12:00:00;85178.52;85522.17;85106.77;85387.40;47532900
2020-05-25 11:00:00;84915.03;85306.20;84915.03;85169.47;112839000
2020-05-25 10:00:00;82197.76;85070.93;82193.33;84894.28;190538100
2020-05-22 16:00:00;81907.81;82293.46;81797.81;82173.21;179713300
2020-05-22 15:00:00;82431.77;82450.44;81828.52;81881.69;98034200
2020-05-22 14:00:00;82487.80;82557.54;82073.48;82447.99;89288700
2020-05-22 13:00:00;82300.19;82692.23;82215.71;82477.01;97431400
2020-05-22 12:00:00;82029.89;82471.80;81975.49;82296.72;106102700
2020-05-22 11:00:00;81871.30;82287.88;81668.80;82049.47;152605300
2020-05-22 10:00:00;83027.09;83027.09;81752.37;81834.43;205038100
2020-05-21 16:00:00;82700.53;83131.77;82700.53;83027.09;213000700
2020-05-21 15:00:00;82783.84;83124.74;82656.95;82713.68;143871600
2020-05-21 14:00:00;82272.51;82800.54;82245.16;82791.89;119298100
2020-05-21 13:00:00;82452.13;82627.78;82209.35;82209.35;119367900
2020-05-21 12:00:00;82698.61;82818.40;82140.17;82449.40;159627400
2020-05-21 11:00:00;82590.51;83308.96;82590.51;82710.19;195630500
2020-05-21 10:00:00;81319.73;82787.70;81317.11;82615.34;189738000
2020-05-20 16:00:00;81591.59;81631.34;81224.80;81319.45;151307300
2020-05-20 15:00:00;81303.75;81681.74;80972.53;81609.60;119338800
2020-05-20 14:00:00;81322.47;81444.74;80995.85;81321.29;98683900
2020-05-20 13:00:00;81705.51;81705.51;80978.67;81305.05;124917400
2020-05-20 12:00:00;82148.36;82219.09;81644.24;81692.65;129198600
2020-05-20 11:00:00;81810.45;82290.49;81788.27;82115.52;160640600
2020-05-20 10:00:00;80746.81;81912.82;80739.61;81816.35;168198000
2020-05-19 16:00:00;81319.40;81564.48;80742.35;80742.35;198436000
2020-05-19 15:00:00;81563.59;81903.86;81222.46;81222.46;136873200
2020-05-19 14:00:00;81877.93;81968.74;81518.40;81566.00;133498700
2020-05-19 13:00:00;81843.89;82174.55;81634.98;81826.82;144482400
2020-05-19 12:00:00;81675.42;81970.54;81536.81;81845.99;126208700
2020-05-19 11:00:00;81193.60;81816.20;81193.60;81657.66;153644300
2020-05-19 10:00:00;81196.69;81654.28;80647.02;81118.16;180868700
2020-05-18 16:00:00;80950.72;81420.37;80950.72;81194.29;237704700
2020-05-18 15:00:00;81159.77;81199.22;80893.14;80961.24;133186600
2020-05-18 14:00:00;80548.13;81315.35;80548.13;81156.78;173697100
2020-05-18 13:00:00;80061.70;80475.04;79937.22;80475.04;132665700
2020-05-18 12:00:00;80226.46;80320.92;79990.72;80069.17;109067300
2020-05-18 11:00:00;80170.26;80339.89;79872.03;80281.86;152830400
2020-05-18 10:00:00;77575.71;80590.96;77571.39;80190.83;216600000
2020-05-15 16:00:00;77795.89;78316.28;77556.62;77556.62;281084700
2020-05-15 15:00:00;78239.81;78576.48;77761.92;77761.92;126023200
2020-05-15 14:00:00;78082.06;78318.00;77895.76;78227.11;106674000
2020-05-15 13:00:00;77817.82;78415.42;77817.82;78099.54;104026100
2020-05-15 12:00:00;78184.66;78184.66;77426.10;77889.62;159580900
2020-05-15 11:00:00;79251.97;79371.60;78077.23;78285.64;186938600
2020-05-15 10:00:00;79010.59;79538.23;78544.77;79270.06;207493800
2020-05-14 16:00:00;77654.96;79010.81;77602.27;79010.81;317230300
2020-05-14 15:00:00;77237.61;77967.74;76479.00;77628.45;187443800
2020-05-14 14:00:00;77877.16;78390.01;77127.77;77325.73;184533200
2020-05-14 13:00:00;76826.56;77796.00;76765.01;77796.00;138175700
2020-05-14 12:00:00;76622.97;77380.72;76610.32;76854.87;143700900
2020-05-14 11:00:00;75739.24;76730.29;75696.95;76630.03;179812800
2020-05-14 10:00:00;77770.48;77808.89;75744.58;75956.82;231139000
2020-05-13 16:00:00;77784.55;77950.06;77401.44;77772.20;246539300
2020-05-13 15:00:00;77833.33;77978.95;77681.77;77798.02;160979400
2020-05-13 14:00:00;77367.86;78103.86;77243.23;77843.85;141344100
2020-05-13 13:00:00;77367.37;77555.23;77151.98;77419.23;118103400
2020-05-13 12:00:00;78015.86;78269.37;77208.93;77330.43;158772100
2020-05-13 11:00:00;78296.81;78728.12;78028.30;78036.82;173201100
2020-05-13 10:00:00;77876.88;78911.28;77875.01;78239.96;161997600
2020-05-12 16:00:00;78919.74;79055.22;77871.95;77871.95;241633100
2020-05-12 15:00:00;78814.28;79115.06;78415.73;78914.13;169409500
2020-05-12 14:00:00;80069.72;80094.58;78803.87;78837.36;146055500
2020-05-12 13:00:00;80114.77;80209.52;80016.71;80087.45;83244000
2020-05-12 12:00:00;80201.86;80238.33;79920.52;80151.09;94698900
2020-05-12 11:00:00;79860.02;80344.03;79730.38;80219.08;121525500
2020-05-12 10:00:00;79064.60;80073.46;79033.38;79857.13;169672200
2020-05-11 16:00:00;79663.73;79816.64;78993.75;79064.60;209939600
2020-05-11 15:00:00;80022.64;80076.35;79515.88;79676.83;111751600
2020-05-11 14:00:00;80123.69;80455.28;80013.89;80013.89;107387300
2020-05-11 13:00:00;79871.59;80354.85;79871.59;80249.55;116443700
2020-05-11 12:00:00;80016.55;80133.91;79673.14;79814.30;106532600
2020-05-11 11:00:00;80414.11;80521.97;79805.71;80083.81;137334300
2020-05-11 10:00:00;80263.42;80722.75;79632.90;80389.53;189495200
2020-05-08 16:00:00;79943.56;80556.62;79943.56;80263.35;227086200
2020-05-08 15:00:00;79711.56;80146.02;79696.92;79939.41;132467200
2020-05-08 14:00:00;79697.36;79846.86;79500.00;79723.64;101547800
2020-05-08 13:00:00;79990.81;79990.81;79547.17;79675.72;104265300
2020-05-08 12:00:00;80224.96;80304.03;79833.47;80051.15;126274100
2020-05-08 11:00:00;79602.81;80315.07;79447.60;80186.92;156124200
2020-05-08 10:00:00;78151.87;79910.31;78151.87;79616.72;225974900
2020-05-07 16:00:00;78806.42;78858.51;78118.57;78118.57;280669200
2020-05-07 15:00:00;78542.15;79310.44;78462.37;78825.48;154120600
2020-05-07 14:00:00;79679.07;79806.00;78434.41;78583.35;163590900
2020-05-07 13:00:00;79714.30;79858.37;79441.33;79596.75;120278900
2020-05-07 12:00:00;78199.38;80061.19;78061.44;79790.26;202339600
2020-05-07 11:00:00;79685.12;79685.12;78094.44;78094.44;233290800
2020-05-07 10:00:00;79072.28;79989.25;79072.28;79677.33;230751100
2020-05-06 16:00:00;79402.54;79533.29;78978.23;79063.68;204415500
2020-05-06 15:00:00;78841.05;79522.65;78726.62;79433.53;117355200
2020-05-06 14:00:00;78899.77;78957.01;78635.68;78817.46;103093100
2020-05-06 13:00:00;78726.92;79269.36;78676.40;78948.65;97896700
2020-05-06 12:00:00;78885.80;78899.91;78490.08;78718.58;118700900
2020-05-06 11:00:00;78836.45;78930.97;78055.82;78865.10;166501300
2020-05-06 10:00:00;79472.78;79996.04;78734.83;78823.66;172917400
2020-05-05 16:00:00;80385.63;80385.63;79152.97;79470.78;223533900
2020-05-05 15:00:00;80427.86;80506.36;80247.00;80356.11;89364900
2020-05-05 14:00:00;80275.65;80514.36;80099.36;80415.21;86146800
2020-05-05 13:00:00;80544.22;80588.15;80225.98;80273.20;74589300
2020-05-05 12:00:00;80117.37;80706.42;80068.67;80538.85;92831600
2020-05-05 11:00:00;81049.99;81065.90;80197.80;80197.80;144666800
2020-05-05 10:00:00;78887.12;81052.61;78886.34;81052.61;204423800
2020-05-04 16:00:00;78310.06;79158.24;78211.46;78876.22;219514200
2020-05-04 15:00:00;77879.63;78304.37;77745.94;78304.37;105878600
2020-05-04 14:00:00;78004.71;78017.78;77640.22;77888.90;76448100
2020-05-04 13:00:00;78196.33;78277.42;77943.27;78007.37;80500700
2020-05-04 12:00:00;77789.32;78267.22;77751.28;78203.12;99600900
2020-05-04 11:00:00;78242.31;78535.83;77802.80;77802.80;129176500
2020-05-04 10:00:00;80501.17;80501.65;77848.30;78282.80;167415400
2020-04-30 16:00:00;80355.68;80755.70;80168.06;80505.89;399553700
2020-04-30 15:00:00;80518.80;80749.68;80183.35;80355.91;137200500
2020-04-30 14:00:00;80861.39;80927.66;80340.66;80507.68;94263900
